gauge_id	huc_02	gauge_name	MINLON	MAXLON	MINLAT	MAXLAT	gauge_lat	gauge_lon	elev_mean	slope_mean	area_gages2	area_geospa_fabric	p_mean	pet_mean	p_seasonality	frac_snow	aridity	high_prec_freq	high_prec_dur	high_prec_timing	low_prec_freq	low_prec_dur	low_prec_timing
01013500	01	Fish River near Fort Kent, Maine	-68.37661	-68.33612	46.88278	46.92311	47.23739	-68.58264	250.31	21.64152	2252.7	2303.95	3.12667898699521	1.97155451060917	0.187940258706929	0.313440357191799	0.63055865946247	12.95	1.34895833333333	son	202.2	3.4271186440678	mam
01022500	01	Narraguagus River at Cherryfield, Maine	-68.3154	-67.85154	44.57195	45.03365	44.60797	-67.93524	92.68	17.79072	573.6	620.38	3.60812594113621	2.11925594798084	-0.114529586491395	0.245259009248271	0.587356423405076	20.55	1.20527859237537	son	233.65	3.66222570532915	jja
01030500	01	Mattawamkeag River near Mattawamkeag, Maine	-67.86003	-67.81955	45.34581	45.38614	45.50097	-68.30596	143.8	12.79195	3676.17	3676.09	3.2744052019165	2.04359356605065	0.0473581892739792	0.27701840295357	0.624111385131731	17.15	1.20774647887324	son	215.6	3.51426242868786	djf
01031500	01	Piscataquis River near Dover-Foxcroft, Maine	-69.3581	-69.31763	45.10309	45.14342	45.17501	-69.3147	247.8	29.56035	769.05	766.53	3.5229568788501	2.07132369609856	0.104090599122482	0.291836473001958	0.587950340389816	18.9	1.14893617021277	son	227.35	3.47364400305577	djf
01047000	01	Carrabassett River near North Anson, Maine	-70.41467	-69.92788	44.75817	45.23691	44.8692	-69.9551	310.38	49.92122	909.1	904.94	3.32314579055441	2.09002387405886	0.147775613761867	0.280118126940736	0.628929335570973	20.1	1.16521739130435	son	235.9	3.69170579029734	djf
01052500	01	Diamond River near Wentworth Location, NH	-71.36138	-71.03292	44.81474	45.1473	44.87739	-71.05749	615.7	60.05183	383.82	396.1	3.73085831622177	2.09642323066393	0.152096802769543	0.352698254049326	0.561914458543945	13.5	1.12970711297071	jja	193.5	2.89670658682635	mam
01054200	01	Wild River at Gilead, Maine	-71.20032	-70.90881	44.20571	44.41574	44.39044	-70.97964	472.31	90.13951	180.98	181.33	4.06713210130048	2.12835505817933	0.104959634640742	0.299641539662879	0.523306104932953	17.5	1.19453924914676	son	220.3	3.2637037037037	mam
01055000	01	Swift River near Roxbury, Maine	-70.79936	-70.49633	44.61292	44.87044	44.64275	-70.58878	423.12	72.81304	250.64	251.16	3.49418343600274	2.09323529089665	0.167229040772146	0.306048851694867	0.599062793707035	19.15	1.16768292682927	son	224.85	3.3786626596544	mam
01057000	01	Little Androscoggin River near South Paris, Maine	-70.76364	-70.44971	44.26135	44.4336	44.30399	-70.53968	215.59	32.68445	190.92	197.7	3.57049965776865	2.13274377823409	0.07913684920672	0.251157672769098	0.597323619284961	20.35	1.16954022988506	son	239.3	3.74784651527016	djf
01073000	01	OYSTER RIVER NEAR DURHAM, NH	-71.07776	-70.92185	43.10191	43.20727	43.1487	-70.96506	37.67	4.75043	31.3	32.11	3.50302532511978	2.20761571526352	0.0303700126107958	0.17503243505174	0.63020261356176	20.85	1.22647058823529	son	249	4.01612903225806	jja
01078000	01	SMITH RIVER NEAR BRISTOL, NH	-72.04309	-71.71945	43.44724	43.66767	43.56646	-71.74786	346.92	49.77182	222.46	221.86	3.56288843258042	2.18414457221081	0.110482096549246	0.23971852199071	0.613026372714384	21.45	1.17213114754098	son	234.5	3.61603700848111	djf
01118300	01	PENDLETON HILL BROOK NEAR CLARKS FALLS, CT.	-71.88356	-71.79976	41.42979	41.53355	41.47482	-71.83424	36.7	8.76539	10.36	13.71	3.89743052703628	2.31003697467488	-0.0377431870575169	0.111232483325858	0.592707672054773	21.5	1.29518072289157	son	244.6	4	jja
