01011000  0 ALLAGASH RIVER NEAR ALLAGASH, ME
01011000  1 Some regulation of river, but monthly and
01011000  2 annual average discharge values should be
01011000  3 relatively unaffected.
01011500  0 ST. FRANCIS RIVER NEAR CONNORS, NEW BRUNSWICK
01011500  1 International site in Canada.
01021500  0 MACHIAS RIVER AT WHITNEYVILLE, ME
01021500  1 Some regulation of river, but monthly and
01021500  2 annual average discharge values should be
01021500  3 relatively unaffected.
01057000  0 LITTLE ANDROSCOGGIN RIVER NEAR SOUTH PARIS, ME
01057000  1 The gage was moved upstream in 1984,
01057000  2 diminishing the drainage area by 3%.
01057000  3 The current drainage area is 73.5.
01060000  0 ROYAL RIVER AT YARMOUTH, ME
01060000  1 Some urbanization in watershed, but
01060000  2 effects deemed to be minimal.
01076000  0 BAKER RIVER NEAR RUMNEY, NH
01076000  1 Records prior to 1930 do not meet HCDN criteria.
01111500  0 BRANCH RIVER AT FORESTDALE, RI
01111500  1 Records prior to water year 1957 are unsuitable
01111500  2 for analysis due to regulation by upstream
01111500  3 mills.
01118000  0 WOOD RIVER AT HOPE VALLEY, RI
01118000  1 Records prior to water year 1953 are unsuitable
01118000  2 for analysis due to regulation by upstream
01118000  3 mills.
01119500  0 WILLAMANTIC RIVER NEAR COVENTRY, CT
01119500  1 Records are not suitable for analysis at
01119500  2 less than monthly resolution due to minor
01119500  3 regulation upstream.
01156000  0 WEST RIVER AT NEWFANE, VT
01156000  1 Records prior to water year 1929 do not meet
01156000  2 the specified standards of accuracy.
01156000  3 Records affected by reservoirs upstream
01156000  4 starting with water year 1962.
01162500  0 PRIEST BROOK NEAR WINCHENDON, MA
01162500  1 Records prior to 1953 do not meet the specified
01162500  2 criteria.  Records prior to 1962 are unsuitable
01162500  3 for analysis at less than monthly resolution
01162500  4 due to diurnal fluctuations caused by
01162500  5 upstream mill.
01165000  0 EAST BRANCH TULLY RIVER NEAR ATHOL, MA
01165000  1 Records affected by upstream reservoir
01165000  2 starting with water year 1948.
01165500  0 MOSS BROOK AT WENDELL DEPOT, MA
01165500  1 Records prior to 1916 may not meet the specified
01165500  2 criteria.
01169000  0 NORTH RIVER AT SHATTUCKVILLE, MA
01169000  1 Although current regulation by upstream mill
01169000  2 is minor so that even daily averages should
01169000  3 not be impaired, prior to 1950 regulation was
01169000  4 greater.
01169900  0 SOUTH RIVER NEAR CONWAY, MA
01169900  1 Records are unsuitable for analysis at less
01169900  2 than monthly resolution due to diurnal
01169900  3 fluctuation caused by upstream powerplant
01169900  4 since 1982.
01173000  0 WARE RIVER AT INTAKE WORKS NEAR BARRE, MA
01173000  1 Records are subject to flow regulation.
01173000  2 (Monthly current conditions report uses
01173000  3 adjusted figures.)
01175500  0 SWIFT RIVER AT WEST WARE, MA
01175500  1 Records affected by upstream reservoir
01175500  2 starting with water year 1940.
01176000  0 QUABOAG RIVER AT WEST BRIMFIELD, MA
01176000  1 Records are unsuitable for analysis at less than
01176000  2 monthly resolution due to diurnal fluctuation
01176000  3 at low flow imposed by upstream mills.
01176000  4 Records affected by retarding reservoirs since
01176000  5 water year 1965.
